Date,Time,Volume_CuM,Flow_Av,Sec,Depth
4/07/2019,19:23:02,166955,0,646032040,-19.6306
4/07/2019,19:38:02,166955,0,646032040,-19.6369
4/07/2019,19:53:02,166955,0,646032040,-19.6337
4/07/2019,20:08:02,166955,0,646032040,-19.6259
4/07/2019,20:23:02,166955,0,646032040,-19.6337
4/07/2019,20:38:02,166955,0,646032040,-19.6353
4/07/2019,20:53:02,166955,0,646032040,-19.6306
4/07/2019,21:08:02,166955,0,646032040,-19.6415
4/07/2019,21:23:02,166955,0,646032040,-19.6306
4/07/2019,21:38:02,166955,0,646032040,-19.6415
4/07/2019,21:53:02,166955,0,646032040,-19.6337
4/07/2019,22:08:02,166955,0,646032040,-19.6337
4/07/2019,22:23:02,166955,0,646032040,-19.6306
4/07/2019,22:38:02,166955,0,646032040,-19.6337
4/07/2019,22:53:02,166955,0,646032040,-19.6384
4/07/2019,23:08:02,166955,0,646032040,-19.6337
4/07/2019,23:23:02,166955,0,646032040,-19.6306
4/07/2019,23:38:02,166955,0,646032040,-19.6415
4/07/2019,23:53:02,166955,0,646032040,-19.6306
5/07/2019,0:08:02,166955,0,646032040,-19.6337
5/07/2019,0:23:02,166955,0,646032040,-19.6431
5/07/2019,0:38:02,166955,0,646032040,-19.6353
5/07/2019,0:53:02,166955,0,646032040,-19.6353
5/07/2019,1:08:02,166955,0,646032040,-19.6431
5/07/2019,1:23:02,166955,0,646032040,-19.6275
5/07/2019,1:38:02,166955,0,646032040,-19.6494
5/07/2019,1:53:02,166955,0,646032040,-19.6337
5/07/2019,2:08:02,166955,0,646032040,-19.6415
5/07/2019,2:23:02,166955,0,646032040,-19.6353
5/07/2019,2:38:02,166955,0,646032040,-19.6306
5/07/2019,2:53:02,166955,0,646032040,-19.6494
5/07/2019,3:08:02,166955,0,646032040,-19.6384
5/07/2019,3:23:02,166955,0,646032040,-19.6337
5/07/2019,3:38:02,166955,0,646032040,-19.6415
5/07/2019,3:53:02,166955,0,646032040,-19.6494
5/07/2019,4:08:02,166955,0,646032040,-19.6337
